WeatherData1
Time[h],GlobalRadiation[W/m2],DiffusRadiation[W/m2],AmbientAirTemperature[C],AmbientAirHumidity[%]
1.00,0.00,0.00,2.50,90.00
2.00,0.00,0.00,1.50,94.00
3.00,0.00,0.00,1.00,95.00
4.00,0.00,0.00,0.80,96.00
5.00,0.00,0.00,0.40,96.00
6.00,0.00,0.00,0.30,97.00
7.00,0.00,0.00,-0.30,97.00
8.00,0.00,0.00,-0.40,97.00
9.00,38.89,27.78,0.50,97.00
10.00,116.67,47.22,2.20,90.00
11.00,208.33,75.00,4.60,81.00
12.00,280.56,86.11,6.00,76.00
13.00,200.00,152.78,6.80,74.00
14.00,183.33,161.11,6.70,74.00
15.00,91.67,91.67,6.50,75.00
16.00,30.56,30.56,6.20,76.00
17.00,2.78,2.78,5.00,82.00
18.00,0.00,0.00,4.60,86.00
19.00,0.00,0.00,4.90,85.00
20.00,0.00,0.00,4.50,84.00
21.00,0.00,0.00,4.30,84.00
22.00,0.00,0.00,3.30,86.00
23.00,0.00,0.00,2.60,88.00
24.00,0.00,0.00,2.60,89.00
25.00,0.00,0.00,3.00,88.00
26.00,0.00,0.00,2.70,89.00
27.00,0.00,0.00,2.40,91.00
28.00,0.00,0.00,3.00,91.00
29.00,0.00,0.00,2.70,93.00
30.00,0.00,0.00,2.60,92.00
31.00,0.00,0.00,4.10,81.00
32.00,2.78,2.78,4.30,67.00
33.00,47.22,47.22,5.60,50.00
34.00,111.11,111.11,5.70,43.00
35.00,119.44,119.44,5.30,41.00
36.00,127.78,127.78,5.10,39.00
37.00,130.56,130.56,4.70,39.00
38.00,144.44,144.44,4.00,40.00
39.00,86.11,86.11,2.90,42.00
40.00,25.00,25.00,2.10,44.00
41.00,0.00,0.00,1.70,44.00
42.00,0.00,0.00,1.70,42.00
43.00,0.00,0.00,1.30,41.00
44.00,0.00,0.00,1.00,41.00
45.00,0.00,0.00,0.80,42.00
46.00,0.00,0.00,0.60,42.00
47.00,0.00,0.00,0.50,40.00
48.00,0.00,0.00,0.10,40.00
49.00,0.00,0.00,0.00,40.00
50.00,0.00,0.00,-0.30,40.00
51.00,0.00,0.00,-0.40,40.00
52.00,0.00,0.00,-0.70,41.00
53.00,0.00,0.00,-0.80,42.00
54.00,0.00,0.00,-0.90,43.00
55.00,0.00,0.00,-1.40,45.00
56.00,2.78,0.00,-1.60,46.00
57.00,66.67,22.22,-0.40,43.00
58.00,180.56,41.67,0.70,42.00
59.00,283.33,52.78,1.50,40.00
60.00,352.78,83.33,2.00,38.00
61.00,363.89,91.67,2.20,37.00
62.00,305.56,66.67,2.60,35.00
63.00,186.11,41.67,2.40,34.00
64.00,69.44,27.78,1.70,35.00
65.00,2.78,2.78,0.40,38.00
66.00,0.00,0.00,-1.60,45.00
67.00,0.00,0.00,-2.30,51.00
68.00,0.00,0.00,-2.70,55.00
69.00,0.00,0.00,-3.40,60.00
70.00,0.00,0.00,-4.20,65.00
71.00,0.00,0.00,-4.50,68.00
72.00,0.00,0.00,-5.10,73.00
73.00,0.00,0.00,-5.50,75.00
74.00,0.00,0.00,-5.80,76.00
75.00,0.00,0.00,-5.90,77.00
76.00,0.00,0.00,-5.70,76.00
77.00,0.00,0.00,-6.80,82.00
78.00,0.00,0.00,-6.60,81.00
79.00,0.00,0.00,-7.00,82.00
80.00,2.78,0.00,-7.30,86.00
81.00,69.44,22.22,-5.80,82.00
82.00,172.22,41.67,-3.60,68.00
83.00,294.44,69.44,-1.90,61.00
84.00,319.44,86.11,-1.20,59.00
85.00,258.33,91.67,-0.60,60.00
86.00,138.89,97.22,-0.80,65.00
87.00,105.56,91.67,-1.00,66.00
88.00,36.11,30.56,-1.20,65.00
89.00,2.78,2.78,-2.10,69.00
90.00,0.00,0.00,-2.40,73.00
91.00,0.00,0.00,-2.50,73.00
92.00,0.00,0.00,-2.50,74.00
93.00,0.00,0.00,-2.60,74.00
94.00,0.00,0.00,-3.30,77.00
95.00,0.00,0.00,-3.60,78.00
96.00,0.00,0.00,-4.10,79.00
97.00,0.00,0.00,-4.80,81.00
98.00,0.00,0.00,-4.80,81.00
99.00,0.00,0.00,-4.60,81.00
100.00,0.00,0.00,-4.60,82.00
101.00,0.00,0.00,-4.50,81.00
102.00,0.00,0.00,-4.70,81.00
103.00,0.00,0.00,-4.70,80.00
104.00,0.00,0.00,-4.70,79.00
105.00,8.33,8.33,-4.50,79.00
106.00,25.00,25.00,-4.30,81.00
107.00,41.67,41.67,-3.90,84.00
108.00,50.00,50.00,-3.30,85.00
109.00,47.22,47.22,-2.90,87.00
110.00,52.78,52.78,-2.40,88.00
111.00,52.78,52.78,-2.00,90.00
112.00,22.22,22.22,-1.90,92.00
113.00,0.00,0.00,-1.80,91.00
114.00,0.00,0.00,-1.90,91.00
115.00,0.00,0.00,-2.00,93.00
116.00,0.00,0.00,-2.10,95.00
117.00,0.00,0.00,-2.10,96.00
118.00,0.00,0.00,-2.20,97.00
119.00,0.00,0.00,-2.30,97.00
120.00,0.00,0.00,-2.40,97.00
121.00,0.00,0.00,-2.40,96.00
122.00,0.00,0.00,-2.50,96.00
123.00,0.00,0.00,-2.70,96.00
124.00,0.00,0.00,-2.70,95.00
125.00,0.00,0.00,-2.70,93.00
126.00,0.00,0.00,-2.80,94.00
127.00,0.00,0.00,-2.90,95.00
128.00,0.00,0.00,-2.70,95.00
129.00,19.44,19.44,-2.50,94.00
130.00,58.33,58.33,-2.00,93.00
131.00,86.11,86.11,-1.60,92.00
132.00,91.67,91.67,-1.60,91.00
133.00,105.56,105.56,-1.00,88.00
134.00,102.78,102.78,-0.60,87.00
135.00,63.89,63.89,-0.50,87.00
136.00,30.56,30.56,-0.60,87.00
137.00,2.78,2.78,-0.70,88.00
138.00,0.00,0.00,-0.80,89.00
139.00,0.00,0.00,-1.00,90.00
140.00,0.00,0.00,-1.00,90.00
141.00,0.00,0.00,-1.10,92.00
142.00,0.00,0.00,-1.10,92.00
143.00,0.00,0.00,-1.10,92.00
144.00,0.00,0.00,-1.10,89.00
145.00,0.00,0.00,-1.30,89.00
146.00,0.00,0.00,-1.30,88.00
147.00,0.00,0.00,-1.50,90.00
148.00,0.00,0.00,-1.30,90.00
149.00,0.00,0.00,-1.50,91.00
150.00,0.00,0.00,-1.40,91.00
151.00,0.00,0.00,-1.30,91.00
152.00,0.00,0.00,-1.30,92.00
153.00,8.33,8.33,-1.20,92.00
154.00,38.89,38.89,-0.90,92.00
155.00,52.78,52.78,-0.80,90.00
156.00,58.33,58.33,-0.70,92.00
157.00,52.78,52.78,-0.60,89.00
158.00,55.56,55.56,-0.20,88.00
159.00,38.89,38.89,-0.20,88.00
160.00,13.89,13.89,-0.40,88.00
161.00,0.00,0.00,-0.40,88.00
162.00,0.00,0.00,-0.40,89.00
163.00,0.00,0.00,-0.50,90.00
164.00,0.00,0.00,-0.40,90.00
165.00,0.00,0.00,-0.70,92.00
166.00,0.00,0.00,-0.70,91.00
167.00,0.00,0.00,-0.60,90.00
168.00,0.00,0.00,-0.60,90.00
169.00,0.00,0.00,-0.80,91.00
170.00,0.00,0.00,-0.90,92.00
171.00,0.00,0.00,-0.90,93.00
172.00,0.00,0.00,-1.00,95.00
173.00,0.00,0.00,-1.00,96.00
174.00,0.00,0.00,-0.80,97.00
175.00,0.00,0.00,-0.90,97.00
176.00,0.00,0.00,-0.70,97.00
177.00,11.11,11.11,-0.60,97.00
178.00,27.78,27.78,-0.60,96.00
179.00,38.89,38.89,-0.50,95.00
180.00,66.67,66.67,-0.60,93.00
181.00,83.33,83.33,-0.50,94.00
182.00,50.00,50.00,-0.30,96.00
183.00,30.56,30.56,-0.40,96.00
184.00,11.11,11.11,-0.40,97.00
185.00,5.56,5.56,-0.30,97.00
186.00,0.00,0.00,-0.40,97.00
187.00,0.00,0.00,-0.50,98.00
188.00,0.00,0.00,-0.30,95.00
189.00,0.00,0.00,-0.30,95.00
190.00,0.00,0.00,-0.10,95.00
191.00,0.00,0.00,-0.30,97.00
192.00,0.00,0.00,0.30,96.00
193.00,0.00,0.00,0.20,97.00
194.00,0.00,0.00,0.10,97.00
195.00,0.00,0.00,0.00,98.00
196.00,0.00,0.00,0.10,98.00
197.00,0.00,0.00,0.20,97.00
198.00,0.00,0.00,0.00,97.00
199.00,0.00,0.00,0.30,97.00
200.00,0.00,0.00,-0.10,97.00
201.00,13.89,13.89,0.50,97.00
202.00,30.56,30.56,0.80,97.00
203.00,41.67,41.67,1.10,97.00
204.00,33.33,33.33,0.70,97.00
205.00,36.11,36.11,0.80,98.00
206.00,36.11,36.11,0.80,98.00
207.00,19.44,19.44,0.80,98.00
208.00,11.11,11.11,0.80,98.00
209.00,0.00,0.00,0.90,98.00
210.00,0.00,0.00,1.00,98.00
211.00,0.00,0.00,1.00,98.00
212.00,0.00,0.00,1.10,98.00
213.00,0.00,0.00,1.00,98.00
214.00,0.00,0.00,0.70,98.00
215.00,0.00,0.00,0.50,98.00
216.00,0.00,0.00,0.60,99.00
217.00,0.00,0.00,0.80,98.00
218.00,0.00,0.00,0.40,98.00
219.00,0.00,0.00,0.70,98.00
220.00,0.00,0.00,0.70,98.00
221.00,0.00,0.00,0.50,98.00
222.00,0.00,0.00,0.60,98.00
223.00,0.00,0.00,0.70,98.00
224.00,0.00,0.00,0.60,98.00
225.00,11.11,11.11,0.70,98.00
226.00,30.56,30.56,0.90,98.00
227.00,55.56,55.56,1.30,96.00
228.00,100.00,100.00,1.80,94.00
